name,id,qid,display_name,full_names,duplicate_of
Hans-Peter Tschorsnig,A1188,Q15441460,Hans-Peter Tschorsnig,,
Marika Tuiwawa,A1189,Q106690085,Marika Tuiwawa,Marika Vuli Tuiwawa,
Anders Tukler,A1190,,Anders Tukler,,
Hans Turin,A1191,,Hans Turin,,
H Turner,A1192,,Hans Turner,,
M. Rifat Ulusoy,A1193,,M. Rifat Ulusoy,,
D M Unwin,A1194,Q107614966,Dennis Martin Unwin,,
Victoriano Urgorri,A1195,Q12401854,Victoriano Urgorri,,
Akihiro Utagawa,A1196,,Akihiro Utagawa,,
Timothy M A Utteridge,A1197,Q21611301,Timothy Michael Arthur Utteridge,,
M Vaeremans,A1198,,M Vaeremans,,
Dante Vailati,A1199,Q21394392,Dante Vailati,,
Jean-Claude Vala,A1200,Q25441965,Jean-Claude Vala,,
Johannes Leonardus Cornelis Hendrikus van Valkenburg,A1201,Q21611349,Johannes Leonardus Cornelis Hendrikus van Valkenburg,,
Luis Felipe Valladares,A1202,Q101508398,Luis Felipe Valladares,Luis Felipe Valladares Díez,
Albert Vandel,A1203,Q2831612,Albert Vandel,,
G Vanhooren,A1204,,G Vanhooren,,
François Vankerkhoven,A1205,,François Vankerkhoven,,
Rudy Vannevel,A1206,,Rudy Vannevel,,
Zoltán Vas,A1207,Q29602402,Zoltán Vas,,
J van der Vecht,A1208,Q21338894,Jacobus van der Vecht,Jaap van der Vecht,
Mark P van Veen; M van Veen; Marcus Petrus van Veen; Mark van Veen,A1209,Q107614959,Mark P van Veen,Mark van Veen; Marcus Petrus van Veen,
Ron van 't Veer,A1407,Q134237920,Ron van 't Veer,,
José Miguel Vela,A1210,Q57001503,José Miguel Vela,José Miguel Vela López,
G van der Velde,A1211,Q25706530,Gerard van der Velde,,
Ilian Velikov,A1212,Q112801497,Ilian Velikov,,
Kars Veling,A1213,,Kars Veling,,
H H W Velthuis,A1214,Q107614952,Hayo Hans Willem Velthuis,,
Jan Verbeke,A1215,,Jan Verbeke,,
Annemieke Verbeken,A1216,Q21611640,Annemieke Verbeken,Annemieke T Verbeken; Mieke Verbeken,
Bernard Vercambre,A1217,,Bernard Vercambre,,
Thierry Vercauteren; T Vercauteren,A1218,,Thierry Vercauteren,,
Nicolas J Vereecken,A1219,Q55835187,Nicolas J Vereecken,,
Olivia Vergara,A1220,,Olivia Vergara,Olivia Edith Vergara Parra,
Fons Verheyde,A1221,Q111425072,Fons Verheyde,,
P M F Verhoeff,A1222,Q107569043,Pieter Marius François Verhoeff,Piet Verhoeff,
Michiel Verhofstad,A1223,Q88106500,Michiel Verhofstad,Michiel J J Verhofstad,
Koen Verhoogt,A1224,,Koen Verhoogt,,
Rikjan Vermeulen,A1225,,Rikjan Vermeulen,,
Paulette Vernières,A1226,Q113628506,Paulette Vernières,,
Hugo Verreycken,A1227,Q54762262,Hugo Verreycken,,
Pierre Viette,A1228,Q527421,Pierre Viette,,
Maartje Vijgenboom,A1229,,Maartje Vijgenboom,,
Anders Vik,A1230,,Anders Vik,,
Veli Vikberg,A1231,Q40766264,Veli Vikberg,,
Nikita Evgenievich Vikhrev,A1232,Q21394781,Nikita Evgenievich Vikhrev,Никита Евгеньевич Вихрев,
G Vinçon,A1233,,G Vinçon,,
Jean-David Chapelin-Viscardi,A1234,,Jean-David Chapelin-Viscardi,,
Gaby Viskens,A1235,,Gaby Viskens,,
Eduard Vives,A1236,Q23068712,Eduard Vives,Eduardo Vives Noguera,
Francisco Vives,A1237,,Francisco Vives,,
