name,id,qid,rank,gbif,children_gbif,ancestors_gbif,duplicate_of
Aphidoidea,T82,Q183350,superfamily,1729,3042; 4383639; 4384165; 4384422; 4386226; 4386328; 4386851; 4386858; 4386894; 4386902; 4386914; 4683977; 4709563; 4773170; 4773456; 4773536; 4774870; 4779186; 4783200; 7517938; 7885409; 8621818,1; 54; 216; 809,
Aphodiinae,T1215,Q2460387,subfamily,,1067342; 1067456; 1067374; 1067352; 1068519; 1067128; 1070140; 1069068; 1069624; 1066453; 1068733; 1068293; 1069924; 1069790; 1067038; 1066400; 1069833; 1070181; 1069090; 1070596; 1066273; 1068164; 1066312; 1067671; 1069735; 1068960; 1066394; 1067248; 1070085; 1070433; 1070276; 1069584; 1069776; 1067398; 1069979; 1067922; 1067560; 1068807; 1066224; 1069581; 1070688; 1068248; 1065462; 1067500; 1069251; 1067130; 1068041; 1068638; 1070411; 6757617; 1067231; 1066025; 1066141; 1065351; 1070040; 1065242; 1069826; 1070526; 1069944; 1067318; 1068192; 1068168; 1068845; 1067547; 1069226; 1068201; 1070001; 1067189; 1070492; 1068816; 1068778; 1067727; 1069380; 9517631; 1067290; 1068037; 1067913; 1067738; 1065172; 1069243; 1069070; 1066108; 1065994; 1069633; 1067595; 1069804; 1066776; 1069638; 1067511; 1065425; 1067558; 1067483; 1068773; 1070170; 1067553; 1067019; 1067389; 1066228; 1069595; 1067729; 1069094; 1066869; 1069064; 1067502; 8054842; 1067384; 1068656; 1068383; 1069968; 1069061; 1065381; 1066421; 9438415; 4994069; 1070400; 1065230; 1068956; 1070349; 1070483; 7379169; 1066829; 1065362; 1069622; 1067111; 1068674; 1067462; 1067471; 1068819; 6722837; 6722898; 1069603; 1069268; 1068958; 1067745; 1068993; 1066271; 1066774; 1065327; 1070221; 1069627; 1066257; 1069821; 8350358; 1065349; 1067924; 1070178; 7609784; 1070266; 1070428; 1066772; 1067367; 1068166; 1068814; 1066355; 1070360; 1069875; 1067621; 1069733; 1066007; 7878561; 1070485; 1069879; 1066833; 1068928; 1069609; 1068916; 1069059; 1067098; 1069997; 1068063; 1068644; 1066392; 1068481; 1067280; 1068991; 1067474; 1065329; 1070077; 1068026; 1069158; 1069270; 1067139; 1068962; 1068113; 1067467; 1065888; 1070426; 1068111; 1069066; 1069149; 1068801; 1066203; 1067725; 1068686; 1067344; 1065184; 1070602; 1070469; 1067570; 1070415; 1070213; 1068154; 1065989; 5992215; 1066207; 1067580; 1065423; 1066143; 1069324; 1066791; 1068702; 1069266; 1070413; 1069370; 1069007; 1070397; 1070022; 1069076; 1067694; 7507702; 1068495; 4737637; 1069861; 8119770; 9444614; 1068652; 1066396; 1067904; 1065405; 1070108; 1070487; 1070531; 1067288; 1070334; 9585437; 1066699; 1066404; 1069245; 1069142; 1070550; 1065165; 1069854; 1065435; 1070609; 1066136; 1066731; 1067346; 1067587; 1067327; 7578862; 1068483; 1068691; 1065372; 1066156; 1070626; 1066158; 1066872; 1068205; 1070528; 1067272; 1069098; 1068981; 1068099; 1068370; 1066411; 1069329; 1065890; 3262600; 1070331; 1066735; 1067308; 1070524; 3261382; 1069831; 1070296; 1068056; 1067687; 1070134; 1070358; 4722040; 1067355; 7524771; 1070261; 1067573; 1068688; 1069922; 1069317; 1069774; 1067748; 1067306; 8210872; 1068148; 1067250; 1067593; 1067613; 1069087; 1065400; 1066353; 1067957; 1066681; 1067959; 1067935; 1068362; 1066462; 1067719; 1067722; 1067714; 1067274; 1067750; 1068654; 6279359; 1068179; 1065182; 1068053; 9593706; 1068197; 1067357; 1067036; 1069617; 1068972; 1067266; 1069588; 1068172; 1069816; 6722719; 1068035; 1069888; 1067692; 1065167; 1069642; 1067575; 6722782; 1068771; 1069810; 1065156; 1069241; 1070594; 1065370; 1067243; 1068964; 1067370; 1070540; 1066823; 1070669; 1069027; 1065427; 1068214; 1068269; 1069653; 1066831; 1068220; 1067394; 1067193; 1069881; 1065169; 1070083; 1069886; 1070517; 1069606; 1070337; 1067469,1; 54; 216; 1470; 5840,
Apiaceae,T83,Q145794,family,6720,,6; 7707728; 220; 1351,
Apidae,T84,Q756082,family,4334,,1; 54; 216; 1457,
Apiformes,T85,Q7391,epifamily,,4334; 7901; 7911,1; 54; 216; 1457,
Apionidae,T86,Q150595,family,4207,,1; 54; 216; 1470,
Apioninae,T87,Q2858313,subfamily,,1248112; 1248704; 1248712; 4290690; 4404284; 4404293; 4404300; 4404726; 4405062; 4405234; 4405303; 4405304; 4405323; 4405489; 4405556; 4405901; 4405916; 4405950; 4406142; 4406958; 4407075; 4407429; 4407591; 4407636; 4407702; 4407767; 4407796; 4408165; 4463169; 4463336; 4463535; 4463543; 4463615; 4463719; 4463809; 4463832; 4463931; 4572329; 4572688; 4575004; 4716681; 4720616; 4726419; 4726461; 4726709; 4729985; 4735818; 4738225; 4741283; 4742092; 4744370; 4745787; 4746613; 4746857; 4746883; 4746908; 4748304; 4761677; 4763151; 4764209; 4764737; 4764925; 4765561; 5430984; 8132067; 9199529; 10212124; 11149548,1; 54; 216; 1470; 4238,
Apis,T88,Q102857,genus,1334757,,1; 54; 216; 1457; 4334,
Apoidea,T89,Q324132,superfamily,1602,4332; 4334; 4345; 4352; 7901; 7905; 7906; 7908; 7910; 7911; 7916; 4298477; 4298479; 7729216; 7924956; 10126467; 10614842,1; 54; 216; 1457,
Appendicularia,T90,Q28960,class,211,,1; 44,
